 Td        ID        Tj        Df        Dd        Db
332       910       319         0        13        13
333      2479       173         4       156       160
333      2562       212         2       119       121
333      2754       268         7        58        65
333      2573       213         0       120       120
334      2852       305        20         9        29
334       684       249        33        52        85
335      2266        93        47       195       242
336       859       307         0        29        29
337      2907       319         5        13        18
337      2745       267         5        65        70
337       867       309         0        28        28
338      2791       290         6        42        48
338       707       255        33        50        83
339      2712       257         3        79        82
339      2714       259        20        60        80
339      2940       338         0         1         1
340       711       257        32        51        83
340       863       309        30         1        31
341      2402       141        79       121       200
341       853       305         0        36        36
342      2583       222        16       104       120
342      2901       315         0        27        27
342      2272        93         0       249       249
343      2582       222         0       121       121
344      2897       315        17        12        29
345      2898       315         3        27        30
345       952       343         0         2         2
345       949       343         0         2         2
346      2845       304        19        23        42
347      2951       343         0         4         4
348      2784       289        31        28        59
348       682       249         0        99        99
349       856       307         0        42        42
349       714       257         0        92        92
350       693       251         0        99        99
351      2651       243         1       107       108
351      2592       224         0       127       127
351       584       222        12       117       129
351       625       235         0       116       116
352      2414       146        78       128       206
352      2958       350         0         2         2
352       645       241         1       110       111
353      2277        94        52       207       259
356      2417       146        79       131       210
357      2912       321         6        30        36
358       837       302         0        56        56
358       951       343         0        15        15
359      2680       249         6       104       110
361      2781       284        11        66        77
361      2969       360         0         1         1
361      2612       230         3       128       131
361       957       350         0        11        11
361       956       350         0        11        11
361       650       241         5       115       120
362      2484       187        33       142       175
362       971       360         0         2         2
362       750       268         0        94        94
363      2595       226        29       108       137
363       835       302         1        60        61
363       836       302         0        61        61
363       691       251         1       111       112
364      2666       246        19        99       118
364      2978       364         0         0         0
365      2919       327         0        38        38
365      2831       298         9        58        67
365      2928       328         1        36        37
365       975       364         0         1         1
367      2851       305         6        56        62
367       912       321         0        46        46
367       580       214        14       139       153
367       667       246        31        90       121
367       497       188         8       171       179
367       495       188         1       178       179
367       699       254         0       113       113
367       721       259         0       108       108
367       700       254         0       113       113
367       880       312         0        55        55
367       900       315         0        52        52
367       897       315         0        52        52
367       884       313         5        49        54
367       909       319         0        48        48
367       885       313         0        54        54
367       914       321         0        46        46
367       904       319         0        48        48
367       921       327         0        40        40
367       873       310         0        57        57
367       875       310         0        57        57
367       926       328         1        38        39
367       928       328         0        39        39
367       923       327         0        40        40
367       864       309        27        31        58
367       946       343         1        23        24
367       842       304         0        63        63
367       948       343         0        24        24
367       959       350         0        17        17
367       994       367         0       367         0
368      2686       251        12       105       117
368       983       366         0         2         2
368       976       364         0         4         4
369      2763       280         1        88        89
369      4146       368         0         1         1
371      2820       297        72         2        74
371      2793       290        23        58        81
371      2636       237         0       134       134
371       525       199         0       172       172
372      2652       243        36        93       129
373      2829       298        11        64        75
373      2991       367         3         3         6
374      2886       313        11        50        61
374      2931       332        16        26        42
374       970       360         0        14        14
374       582       222         0       152       152
375      2942       338         5        32        37
376       564       212        12       152       164
376      2800       291        30        55        85
378      2675       247         0       131       131
379      2646       241         0       138       138
380      2696       254        41        85       126
382      2921       327        13        42        55
382       611       230        59        93       152
383      2758       269         1       113       114
383       982       366         0        17        17
383       870       310         3        70        73
384      1010       375         0         9         9
